date,price_usd,active_addresses,tx_count,hash_rate,supply_current,fee_usd,difficulty,miner_revenue_usd,estimated_transaction_volume_usd
2015-02-12,222.583227936879,232114.0,88258.0,262976.994964268,13829989.77463699,2882.57856552,44455415962.3438,700112.57856552,34026161.1737034
2015-02-13,236.555363822326,312759.0,113789.0,322644.044241876,13833639.77463699,4087.4677608555,44455415962.3438,871174.467760856,55861344.6781028
2015-02-14,257.627695791935,260312.0,100479.0,353582.514237672,13837639.77463699,3810.156268393,44455415962.3438,1034325.15626839,45738450.4799351
2015-02-15,234.445803039158,342433.0,82100.0,309384.699957963,13841139.77463699,3826.7798575,44455415962.3438,1098201.7798575,50230292.3814113
2015-02-16,235.086126826417,261678.0,103452.0,346952.842095716,13845064.77463699,3930.4748812392,44455415962.3438,1063594.97488124,42031494.0701255
2015-02-17,243.905794272355,272213.0,104074.0,329273.716383832,13848789.77463699,4154.166029685,44455415962.3438,1076991.66602969,44152334.6637976
2015-02-18,235.995232320281,246403.0,103957.0,369051.74923557,13852964.77463699,4153.5037160809,44455415962.3438,1187677.75371608,52588910.6640806
2015-02-19,241.872253945061,213440.0,93715.0,366841.858521585,13857114.77430939,3594.6165804864,44455415962.3438,1155178.61658049,43355706.2179078
2015-02-20,245.530775277615,249692.0,99228.0,349162.732809701,13861064.77414559,4153.6454914254,44455415962.3438,1090408.64549142,43621202.084472
2015-02-21,245.596002630041,271126.0,88178.0,313804.481385934,13864614.77365419,3414.9192459406,44455415962.3438,961956.919245941,32303017.1761253
2015-02-22,236.690668322618,273269.0,84628.0,334358.311133104,13868389.77349039,3193.9645147377,44455415962.3438,1027780.71451474,28064501.2114758
2015-02-23,239.066017825833,253650.0,104512.0,329538.396656716,13871939.77349039,3797.1490403556,46684376316.8603,1030310.14904036,43288568.217363
2015-02-24,239.869262127411,232088.0,103153.0,299369.388512087,13875164.77349039,3580.762454456,46684376316.8603,833758.262454456,33260050.7882186
2015-02-25,238.236111046172,226574.0,103255.0,368990.176538154,13879139.77349039,4215.3051765834,46684376316.8603,1173922.80517658,54038819.155546
2015-02-26,237.044402396259,230216.0,101222.0,348103.940130334,13882889.77349039,3918.1675092567,46684376316.8603,1039087.66750926,38170855.034908
2015-02-27,255.116774400935,247223.0,103585.0,352745.325998738,13886689.77349039,3876.1262458791,46684376316.8603,1068531.12624588,60598285.2499676
2015-02-28,254.948448568089,281000.0,87971.0,329538.396656716,13890239.77349039,4060.6631194613,46684376316.8603,1138555.66311946,36211667.9556738
