date,open,high,low,close,adj_close,volume,return_1d,return_7d,abs_return_1d,volatility_7,volume_change,high_low_range,ma_7,ma_30,ma_ratio,price_usd,active_addresses,tx_count,hash_rate,supply_current,fee_usd,difficulty,miner_revenue_usd,estimated_transaction_volume_usd,price_usd_change,active_addresses_change,tx_count_change,hash_rate_change,difficulty_change,fee_usd_change,miner_revenue_usd_change,supply_current_change,estimated_transaction_volume_usd_change,event_today,event_window_3d,event_window_7d,event_window_14d,event_name,event_type,region,severity,volume_change_high,abs_return_1d_high,volatility_7_high,high_low_range_high,active_addresses_change_high,tx_count_change_high,fee_usd_change_high,miner_revenue_usd_change_high,hash_rate_change_high,difficulty_change_high,estimated_transaction_volume_usd_change_high,target_next_day_up
2015-01-01,320.43499755859375,320.43499755859375,314.00299072265625,314.2489929199219,314.2489929199219,8036550,,,,,,0.02007273514111505,,,,314.77647194623,145765.0,60177.0,333345.017260144,13675614.78521033,2989.225321836,40640955016.5765,1519572.47532184,25914595.5476684,,,,,,,,,,0,0,0,0,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,1.0
2015-01-02,314.0790100097656,315.8389892578125,313.56500244140625,315.0320129394531,315.0320129394531,7860650,0.0024917184690256278,,0.0024917184690256278,,-0.021887501477624083,0.007240174427242193,,,,315.942731735827,212932.0,83050.0,333345.017260144,13679739.78521033,4047.3802205366,40640955016.5765,1475784.13022053,41275152.0276008,0.003705041175365409,0.46078962713957394,0.38009538528009035,0.0,0.0,0.35398967450559216,-0.028816226808817236,0.0003016317777875255,0.5927376505520816,0,0,0,0,None,None,None,None,0,0,0,0,1,1,1,0,0,1,1,0.0
2015-01-03,314.84600830078125,315.1499938964844,281.0820007324219,281.0820007324219,281.0820007324219,33054400,-0.10776686435849991,,0.10776686435849991,,3.205046656446986,0.1082052567473442,,,,285.647309760374,241755.0,81404.0,327284.198764505,13683789.78496462,4357.1315143481,40640955016.5765,1586907.13151435,90356063.08853,-0.09588896636110711,0.13536246313377043,-0.019819385912101195,-0.0181818181818183,0.0,0.07653130591482538,0.07529759876006703,0.0002960582451039251,1.1891152097540107,0,0,0,0,None,None,None,None,1,1,0,1,1,0,0,0,0,1,1,0.0
2015-01-04,281.14599609375,287.2300109863281,257.61199951171875,264.19500732421875,264.19500732421875,55629100,-0.0600785299812876,,0.0600785299812876,,0.682955975603853,0.10534744184915602,,,,263.334574810053,235011.0,82769.0,347486.927083302,13688089.78496462,7189.9708804911,40640955016.5765,1632202.97088049,82599914.8311755,-0.07811288322315679,-0.027896010423776096,0.016768217777996197,0.06172839506172956,0.0,0.6501615470670135,0.02854347205744512,0.00031424043101901944,-0.08583982072962937,0,0,0,0,None,None,None,None,1,1,0,1,0,0,1,0,0,1,0,1.0
2015-01-05,265.0840148925781,278.34100341796875,265.0840148925781,274.4739990234375,274.4739990234375,43962800,0.03890683553533014,,0.03890683553533014,,-0.209715778252749,0.050010516593250065,,,,275.003851548802,242515.0,95721.0,315162.561773228,13691989.78496462,4615.535489077,40640955016.5765,1202039.03548908,68422951.1150276,0.04431350021988645,0.03193042027819981,0.15648370766832986,-0.09302325581395177,0.0,-0.3580592236332195,-0.263548065446394,0.0002849192298755021,-0.17163412026663638,0,0,0,0,None,None,None,None,0,1,0,0,0,1,0,0,0,1,0,1.0
2015-01-06,274.6109924316406,287.5530090332031,272.6960144042969,286.1889953613281,286.1889953613281,23245700,0.04268162514326268,,0.04268162514326268,,-0.47124159516682285,0.05410196619352237,,,,287.549521040327,215554.0,88848.0,319203.107436987,13695939.78496462,4175.14103894,40640955016.5765,1361861.14103894,80774786.2919001,0.045619977396202716,-0.11117250479351792,-0.0718024257999812,0.012820512820511665,0.0,-0.09541567845794408,0.13295916424613652,0.00028848984421081525,0.18052181286521107,0,0,0,0,None,None,None,None,0,1,0,1,0,0,0,1,0,1,0,1.0
2015-01-07,286.0769958496094,298.7539978027344,283.0790100097656,294.3370056152344,294.3370056152344,24866800,0.028470732229305185,,0.028470732229305185,,0.06973762889480639,0.05479289848670352,289.9368591308594,,,297.535565166569,204697.0,92569.0,282838.196463153,13699439.78496462,3752.3005946492,40640955016.5765,1052470.30059465,65503921.5606002,0.0347280847142899,-0.050367889252808995,0.04188051503691703,-0.11392405063291144,0.0,-0.10127572705858867,-0.22718236912778145,0.0002555501889576206,-0.1890548453587333,0,0,0,0,None,None,None,None,0,0,0,1,0,0,0,0,0,1,0,0.0
2015-01-08,294.135009765625,294.135009765625,282.17498779296875,283.3489990234375,283.3489990234375,19982500,-0.03733137995621494,-0.09832965130411231,0.03733137995621494,0.05707212236849923,-0.196418517863175,0.040661674318151826,285.5225742885045,,,284.342391876096,230454.0,105611.0,296980.106286311,13703114.78496462,5563.3437518274,40640955016.5765,1383767.09375183,99039166.1672055,-0.04434150009289506,0.1258298851473152,0.1408894986442546,0.050000000000001155,0.0,0.4826487408180351,0.3147801823671377,0.00026825914473027623,0.511957815771084,0,0,0,0,None,None,None,None,0,1,1,0,1,1,1,1,0,1,1,1.0
2015-01-09,282.38299560546875,291.114013671875,280.5329895019531,290.4079895019531,290.4079895019531,18718600,0.024912706601556422,-0.07816355934034092,0.024912706601556422,0.05870738706496204,-0.06325034405104468,0.03747047214098241,282.0048566545759,,,292.501114552893,237524.0,100397.0,282838.196463153,13706614.78496462,4461.8883529662,40640955016.5765,1085523.88835297,68712674.598593,0.02869330395290559,0.030678573598201808,-0.04936985730653054,-0.04761904761904878,0.0,-0.19798442231785585,-0.21552991594143822,0.0002554163819630251,-0.30620705668516024,0,0,0,0,None,None,None,None,0,0,1,0,0,0,0,0,0,1,0,0.0
2015-01-10,287.3030090332031,288.12701416015625,273.96600341796875,274.7959899902344,274.7959899902344,15264300,-0.05375884988044988,-0.022363618893447068,0.05375884988044988,0.04586626802828428,-0.18453837359631597,0.049289461985937415,281.1068551199777,,,276.230532144944,274443.0,106342.0,296980.106286311,13710289.78496462,5046.4524344234,40640955016.5765,1335502.20243442,62141881.0615877,-0.055625710803938855,0.15543271416783155,0.05921491678038193,0.050000000000001155,0.0,0.13101270924194908,0.23028356792841653,0.0002681187191480028,-0.09562709609821896,0,0,0,0,None,None,None,None,0,1,1,0,1,0,0,1,0,1,0,0.0
